vid,name,country
5597,Keylor Navas,Costa Rica
5598,Óscar Duarte,Costa Rica
5601,Vladimir Stojković,Serbia
5628,José Rodríguez,Panama
5633,Yannick Carrasco,Belgium
5671,Alfred N'Diaye,Senegal
5674,Moussa Wagué,Senegal
5678,Jefferson Lerma,Colombia
5685,Carlos Sánchez,Colombia
5687,Takashi Inui,Japan
5688,Carlos Bacca,Colombia
5691,Johan Mojica,Colombia
5693,Gaku Shibasaki,Japan
5695,James Rodríguez,Colombia
5696,Santiago Arias,Colombia
5718,Rodrigo,Spain
5719,Marco Asensio Willemsen,Spain
5721,Daniel Carvajal,Spain
5723,Gelson Martins,Portugal
5724,Fayçal Fajr,Morocco
5725,Mehdi Carcela-González,Morocco
5737,Steven Nzonzi,France
5741,Enzo Pérez,Argentina
5742,Gabriel Mercado,Argentina
5830,Kenneth Omeruo,Nigeria
5987,Giovani dos Santos,Mexico
6038,John Guidetti,Sweden
6192,Abel Aguilar,Colombia
6196,Yerry Mina,Colombia
6297,Maxi Gómez,Uruguay
6301,Youssef En-Nesyri,Morocco
6310,Filip Bradarić,Croatia
6319,Luka Jović,Serbia
6320,Filipe Luis,Brazil
6330,Adnan Januzaj,Belgium
6332,Thomas Vermaelen,Belgium
6334,Luis Muriel,Colombia
6349,Federico Fazio,Argentina
6350,Manuel Fernandes,Portugal
6351,Cristhian Stuani,Uruguay
6356,Michael Krohn-Dehli,Denmark
6357,Jonathan dos Santos,Mexico
6360,Cristián Zapata,Colombia
6374,Nélson Semedo,Portugal
6375,Juanfran,Spain
6376,Stefan Savić,Montenegro
6377,Ángel Correa,Argentina
6378,Jan Oblak,Slovenia
6379,Sergi Roberto,Spain
6381,Saúl Ñíguez,Spain
6382,Fernando Torres,Spain
6383,Thomas Partey,Ghana
6384,Gabi,Spain
6386,Eneko Bóveda,Spain
6387,Iñigo Córdoba,Spain
6388,Ander Iturraspe,Spain
6389,Mikel San José,Spain
6390,Markel Susaeta,Spain
6391,Raúl García,Spain
6392,Iñigo Lekue,Spain
6393,Iñaki Williams,Ghana
6394,Aritz Aduriz,Spain
6395,Kepa,Spain
6396,Beñat Etxebarria,Spain
6397,Unai Núñez,Spain
6399,Gareth Bale,Wales
6400,Aleix Vidal,Spain
6401,Kévin Gameiro,France
6402,Paco Alcácer,Spain
6557,Adrián González,Spain
6558,Álex Mula,Spain
6559,Juan Carlos,Spain
6560,Marc Muniesa,Spain
6561,Luis Hernández,Spain
6563,Juanpi,Venezuela (Bolivarian Republic)
6564,Pablo Maffeo,Spain
6565,Pere Pons,Spain
6566,Borja Bastón,Spain
6567,Borja García,Spain
6569,Roberto Rosales,Venezuela (Bolivarian Republic)
