,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
127,1,1,0,1,0,180.0,3,0.5,0.5,0.0,0.5,0,Youssef En-Nesyri,Morocco
128,1,2,0,8,0,1469.0,24,0.06126616746085772,0.12253233492171545,0.0,0.4901293396868618,0,Filipe Luis,Brazil
129,0,0,0,2,0,206.0,2,0.0,0.0,0.0,0.8737864077669902,0,Adnan Januzaj,Belgium
130,1,1,0,4,0,1133.0,22,0.0794351279788173,0.0794351279788173,0.0,0.3177405119152692,0,Thomas Vermaelen,Belgium
131,1,0,0,0,0,165.0,2,0.5454545454545454,0.0,0.0,0.0,0,Luis Muriel,Colombia
132,0,0,0,2,0,563.0,8,0.0,0.0,0.0,0.3197158081705151,0,Federico Fazio,Argentina
133,0,0,0,2,0,113.0,2,0.0,0.0,0.0,1.592920353982301,0,Cristhian Stuani,Uruguay
134,1,1,0,3,0,912.0,13,0.09868421052631579,0.09868421052631579,0.0,0.29605263157894735,0,Michael Krohn-Dehli,Denmark
135,0,1,0,1,0,1436.0,17,0.0,0.06267409470752089,0.0,0.06267409470752089,0,Jonathan dos Santos,Mexico
136,0,1,0,5,0,2804.0,45,0.0,0.03209700427960057,0.0,0.16048502139800286,0,Nélson Semedo,Portugal
137,1,2,0,5,0,1575.0,33,0.05714285714285714,0.11428571428571428,0.0,0.2857142857142857,0,Juanfran,Spain
138,0,0,0,1,0,360.0,8,0.0,0.0,0.0,0.25,0,Stefan Savić,Montenegro
139,1,0,0,3,0,759.0,9,0.11857707509881424,0.0,0.0,0.3557312252964427,0,Ángel Correa,Argentina
140,3,15,0,13,0,7681.0,112,0.0351516729592501,0.17575836479625048,0.0,0.15232391615675042,0,Sergi Roberto,Spain
141,5,1,0,3,0,1998.0,24,0.22522522522522523,0.04504504504504504,0.0,0.13513513513513514,0,Saúl Ñíguez,Spain
142,9,1,0,2,0,1675.0,25,0.48358208955223875,0.05373134328358209,0.0,0.10746268656716418,0,Fernando Torres,Spain
143,0,1,0,2,0,472.0,9,0.0,0.1906779661016949,0.0,0.3813559322033898,0,Thomas Partey,Ghana
144,0,3,0,12,0,2663.0,34,0.0,0.10138941043935411,0.0,0.40555764175741643,0,Gabi,Spain
145,0,0,0,1,0,1082.0,17,0.0,0.0,0.0,0.08317929759704251,0,Eneko Bóveda,Spain
146,0,0,0,4,0,810.0,10,0.0,0.0,0.0,0.4444444444444444,0,Ander Iturraspe,Spain
147,1,2,0,3,0,1875.0,24,0.048,0.096,0.0,0.14400000000000002,0,Mikel San José,Spain
148,4,3,0,4,0,2832.0,28,0.1271186440677966,0.09533898305084745,0.0,0.1271186440677966,0,Markel Susaeta,Spain
149,8,6,0,12,0,2555.0,31,0.28180039138943247,0.21135029354207435,0.0,0.4227005870841487,0,Raúl García,Spain
150,0,0,0,3,0,965.0,15,0.0,0.0,0.0,0.27979274611398963,0,Iñigo Lekue,Spain
151,7,2,0,3,0,2431.0,22,0.2591526120937886,0.07404360345536816,0.0,0.11106540518305225,0,Iñaki Williams,Ghana
152,14,6,0,8,0,2249.0,34,0.5602489995553579,0.24010671409515338,0.0,0.3201422854602045,0,Aritz Aduriz,Spain
153,1,4,0,6,0,2754.0,33,0.032679738562091505,0.13071895424836602,0.0,0.19607843137254904,0,Beñat Etxebarria,Spain
154,0,0,0,1,0,135.0,3,0.0,0.0,0.0,0.6666666666666667,0,Unai Núñez,Spain
155,17,9,0,4,0,1936.0,23,0.7902892561983471,0.41838842975206614,0.0,0.1859504132231405,0,Gareth Bale,Wales
156,2,2,0,1,0,1159.0,16,0.1553062985332183,0.1553062985332183,0.0,0.07765314926660916,0,Aleix Vidal,Spain
157,12,2,0,0,0,1973.0,22,0.5473897617840852,0.0912316269640142,0.0,0.0,0,Kévin Gameiro,France
158,15,6,0,1,0,2751.0,35,0.49073064340239914,0.19629225736095965,0.0,0.032715376226826604,0,Paco Alcácer,Spain
159,4,0,0,6,0,2523.0,26,0.1426872770511296,0.0,0.0,0.2140309155766944,0,Adrián González,Spain
160,0,1,0,3,0,945.0,11,0.0,0.09523809523809525,0.0,0.2857142857142857,0,Juan Carlos,Spain
161,0,0,0,2,0,1355.0,27,0.0,0.0,0.0,0.13284132841328414,0,Luis Hernández,Spain
162,2,0,0,3,0,953.0,14,0.1888772298006296,0.0,0.0,0.2833158447009444,0,Juanpi,Venezuela (Bolivarian Republic)
163,0,0,0,1,0,123.0,1,0.0,0.0,0.0,0.7317073170731708,0,Pablo Maffeo,Spain
164,12,2,0,2,0,2211.0,24,0.4884667571234735,0.0814111261872456,0.0,0.0814111261872456,0,Borja Bastón,Spain
165,0,2,0,6,0,1223.0,26,0.0,0.1471790678659035,0.0,0.44153720359771054,0,Roberto Rosales,Venezuela (Bolivarian Republic)
166,0,0,0,2,0,135.0,3,0.0,0.0,0.0,1.3333333333333335,0,Juanpe,Spain
