,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
304,0,1,0,5,0,1616.0,31,0.0,0.055693069306930694,0.0,0.2784653465346535,0,Mikel Balenziaga,Spain
305,0,1,0,7,0,1284.0,21,0.0,0.07009345794392523,0.0,0.49065420560747663,0,Javi López,Spain
306,0,0,0,3,0,1125.0,25,0.0,0.0,0.0,0.24,0,Pau López,Spain
307,0,0,0,10,1,1528.0,30,0.0,0.0,0.0,0.6479057591623036,0,Gustavo Cabral,Argentina
308,0,0,0,2,0,380.0,7,0.0,0.0,0.0,0.47368421052631576,0,Rubén Blanco,Spain
309,1,0,0,1,0,762.0,12,0.11811023622047244,0.0,0.0,0.11811023622047244,0,Nemanja Radoja,Serbia
310,2,2,0,4,0,2300.0,27,0.0782608695652174,0.0782608695652174,0.0,0.1565217391304348,0,Daniel Wass,Denmark
311,1,2,0,9,0,1863.0,20,0.04830917874396135,0.0966183574879227,0.0,0.43478260869565216,0,Pablo Hernández,Chile
312,2,1,0,5,0,1485.0,25,0.12121212121212122,0.06060606060606061,0.0,0.30303030303030304,0,Jonny Castro,Spain
313,0,1,0,4,0,1041.0,20,0.0,0.08645533141210375,0.0,0.345821325648415,0,Sergi Gómez,Spain
314,1,3,0,7,0,1584.0,31,0.05681818181818182,0.17045454545454547,0.0,0.3977272727272727,0,Hugo Mallo,Spain
315,0,0,0,1,0,150.0,2,0.0,0.0,0.0,0.6000000000000001,0,Rober,Spain
316,1,0,0,0,0,116.0,2,0.7758620689655172,0.0,0.0,0.0,0,José Arnáiz,Spain
317,2,0,0,1,0,763.0,10,0.23591087811271297,0.0,0.0,0.11795543905635648,0,Jesús Navas,Spain
318,0,1,0,0,0,161.0,2,0.0,0.5590062111801242,0.0,0.0,0,Joaquín Correa,Argentina
319,0,0,0,1,0,1170.0,26,0.0,0.0,0.0,0.07692307692307693,0,Sergio Rico,Spain
320,0,1,0,6,0,608.0,12,0.0,0.14802631578947367,0.0,0.888157894736842,0,Daniel Carriço,Portugal
321,4,1,0,17,0,3866.0,66,0.09311950336264874,0.023279875840662184,0.0,0.3957578892912571,0,Clément Lenglet,France
322,0,0,0,2,0,443.0,7,0.0,0.0,0.0,0.4063205417607223,0,Daniele Bonera,Italy
323,1,1,0,6,0,638.0,14,0.14106583072100312,0.14106583072100312,0.0,0.8463949843260189,0,Jaume Costa,Spain
324,0,0,0,2,0,1415.0,18,0.0,0.0,0.0,0.127208480565371,0,Samu Castillejo,Spain
325,19,5,0,4,0,2806.0,37,0.609408410548824,0.1603706343549537,0.0,0.12829650748396293,0,Rubén Castro,Spain
326,0,1,0,4,0,963.0,20,0.0,0.09345794392523364,0.0,0.37383177570093457,0,Mauro dos Santos,Argentina
327,7,1,0,6,0,1465.0,21,0.4300341296928327,0.06143344709897611,0.0,0.36860068259385664,0,Hernán Pérez,Paraguay
328,1,3,0,4,0,1638.0,19,0.054945054945054944,0.16483516483516483,0.0,0.21978021978021978,0,Vitolo,Spain
329,3,0,0,2,0,1148.0,15,0.23519163763066203,0.0,0.0,0.156794425087108,0,Iker Muniain,Spain
330,1,0,0,2,0,225.0,5,0.4,0.0,0.0,0.8,0,Federico Ricca,Uruguay
331,0,0,0,1,0,4.0,1,0.0,0.0,0.0,22.5,0,Andreas Pereira,Brazil
332,4,0,0,3,0,1258.0,13,0.2861685214626391,0.0,0.0,0.2146263910969793,0,Adalberto Peñaranda,Venezuela (Bolivarian Republic)
333,0,2,0,4,0,1238.0,17,0.0,0.14539579967689822,0.0,0.29079159935379645,0,Lucas Digne,France
334,4,1,0,3,0,1734.0,20,0.20761245674740486,0.051903114186851215,0.0,0.15570934256055363,0,Jozabed Sánchez,Spain
335,0,0,0,1,0,45.0,1,0.0,0.0,0.0,2.0,0,Guillermo Maripán,Chile
336,1,0,0,5,0,977.0,14,0.09211873080859775,0.0,0.0,0.4605936540429888,0,Carlos Vigaray,Spain
337,1,0,0,1,0,126.0,1,0.7142857142857142,0.0,0.0,0.7142857142857142,0,Nicola Sansone,Italy
338,1,0,0,8,1,452.0,11,0.19911504424778761,0.0,0.0,1.7920353982300885,0,Juan Cala,Spain
339,5,1,0,2,0,1383.0,15,0.32537960954446854,0.0650759219088937,0.0,0.1301518438177874,0,Cédric Bakambu,"Congo, (Kinshasa)"
340,0,0,0,4,0,744.0,12,0.0,0.0,0.0,0.4838709677419355,0,Francisco Molinero,Spain
341,1,0,0,10,0,1896.0,23,0.04746835443037974,0.0,0.0,0.47468354430379744,0,Pape Diop,Senegal
342,1,0,0,10,0,1528.0,28,0.05890052356020943,0.0,0.0,0.5890052356020943,0,Alejandro Arribas,Spain
343,0,0,0,8,0,1224.0,22,0.0,0.0,0.0,0.5882352941176471,0,Bruno González,Spain
344,0,0,0,4,0,634.0,8,0.0,0.0,0.0,0.5678233438485805,0,Francisco Portillo,Spain
345,0,0,0,2,0,271.0,4,0.0,0.0,0.0,0.6642066420664207,0,Yeray Álvarez,Spain
346,0,1,0,3,0,818.0,14,0.0,0.1100244498777506,0.0,0.33007334963325186,0,Miguel Torres,Spain
347,1,0,0,0,0,215.0,2,0.41860465116279066,0.0,0.0,0.0,0,Alberto Bueno,Spain
348,9,1,0,3,0,1757.0,22,0.46101309049516226,0.051223676721684694,0.0,0.15367103016505407,0,Antonio Sanabria,Paraguay
349,0,0,0,1,0,1215.0,27,0.0,0.0,0.0,0.07407407407407407,0,Sergio Álvarez,Spain
350,1,1,0,1,0,541.0,9,0.16635859519408502,0.16635859519408502,0.0,0.16635859519408502,0,Andreu Fontàs,Spain
351,1,0,0,2,0,489.0,9,0.18404907975460125,0.0,0.0,0.3680981595092025,0,Ezequiel Garay,Argentina
352,0,1,0,2,0,180.0,4,0.0,0.5,0.0,1.0,0,Pau Torres,Spain
353,0,2,0,2,0,1255.0,18,0.0,0.14342629482071714,0.0,0.14342629482071714,0,Rubén Pardo,Spain
354,0,0,0,1,0,103.0,2,0.0,0.0,0.0,0.8737864077669902,0,Jon Bautista,Spain
355,2,3,0,1,0,1716.0,20,0.1048951048951049,0.15734265734265734,0.0,0.05244755244755245,0,Pedro León,Spain
356,0,2,0,5,0,1635.0,29,0.0,0.11009174311926605,0.0,0.27522935779816515,0,Fernando Navarro,Spain
357,1,2,0,6,0,1553.0,24,0.05795235028976175,0.1159047005795235,0.0,0.34771410173857054,0,Tito,Spain
358,4,1,0,7,0,1598.0,19,0.22528160200250313,0.056320400500625784,0.0,0.39424280350438046,0,Isaac Success,Nigeria
359,0,0,0,1,0,130.0,1,0.0,0.0,0.0,0.6923076923076923,0,Matías Aguirregaray,Uruguay
360,0,0,0,1,0,130.0,3,0.0,0.0,0.0,0.6923076923076923,0,Ximo Navarro,Spain
361,0,0,0,2,0,266.0,5,0.0,0.0,0.0,0.6766917293233082,0,Alejandro Gálvez,Spain
362,3,3,0,5,0,1727.0,21,0.1563404748118124,0.1563404748118124,0.0,0.26056745801968734,0,Alen Halilović,Croatia
363,2,1,0,1,0,643.0,12,0.27993779160186627,0.13996889580093314,0.0,0.13996889580093314,0,David García,Spain
364,5,1,0,0,0,2041.0,18,0.22048015678588925,0.04409603135717785,0.0,0.0,0,Tana,Spain
365,1,1,0,3,0,1065.0,16,0.08450704225352113,0.08450704225352113,0.0,0.2535211267605634,0,Vicente Gómez,Spain
366,0,0,0,4,0,1070.0,18,0.0,0.0,0.0,0.33644859813084116,0,Dani Castellano,Spain
367,0,3,0,2,0,1275.0,13,0.0,0.2117647058823529,0.0,0.1411764705882353,0,Momo,Spain
368,0,0,0,1,0,228.0,6,0.0,0.0,0.0,0.39473684210526316,0,Adrián Marín,Spain
369,0,0,0,1,0,221.0,2,0.0,0.0,0.0,0.40723981900452494,0,Borja Valero,Spain
370,4,3,0,3,0,1933.0,21,0.18623900672529747,0.1396792550439731,0.0,0.1396792550439731,0,Rafinha,Brazil
371,1,3,0,4,0,1406.0,21,0.06401137980085349,0.19203413940256048,0.0,0.25604551920341395,0,João Cancelo,Portugal
372,0,1,0,0,0,320.0,4,0.0,0.28125,0.0,0.0,0,José Callejón,Spain
373,0,0,0,4,0,543.0,7,0.0,0.0,0.0,0.6629834254143646,0,Raúl Albiol,Spain
374,1,0,0,1,0,679.0,12,0.1325478645066274,0.0,0.0,0.1325478645066274,0,Mateo Musacchio,Argentina
375,0,0,0,1,0,106.0,1,0.0,0.0,0.0,0.8490566037735848,0,Marko Rog,Croatia
376,1,2,0,2,0,1626.0,30,0.055350553505535055,0.11070110701107011,0.0,0.11070110701107011,0,Marc Bartra,Spain
377,0,0,0,2,0,90.0,2,0.0,0.0,0.0,2.0,0,Mathías Olivera,Uruguay
378,4,7,0,10,2,2817.0,31,0.12779552715654952,0.22364217252396168,0.0,0.3833865814696486,0,Fabián Orellana,Chile
379,0,0,0,1,0,90.0,1,0.0,0.0,0.0,1.0,0,Khouma Babacar,Senegal
380,3,3,0,1,0,1253.0,13,0.2154828411811652,0.2154828411811652,0.0,0.07182761372705507,0,Giuseppe Rossi,Italy
381,0,1,0,4,0,937.0,14,0.0,0.096051227321238,0.0,0.384204909284952,0,Sebastián Cristóforo,Uruguay
382,0,1,0,5,0,1295.0,20,0.0,0.0694980694980695,0.0,0.3474903474903475,0,Cristiano Biraghi,Italy
383,2,1,0,6,0,603.0,12,0.2985074626865672,0.1492537313432836,0.0,0.8955223880597015,0,Germán Pezzella,Argentina
384,0,1,0,3,0,833.0,13,0.0,0.10804321728691475,0.0,0.3241296518607443,0,Carles Planas,Spain
385,0,0,0,3,0,380.0,7,0.0,0.0,0.0,0.7105263157894737,0,Mauricio Lemos,Uruguay
386,0,0,0,1,0,126.0,1,0.0,0.0,0.0,0.7142857142857142,0,Franco Zuculini,Argentina
387,7,0,0,4,0,2240.0,28,0.28125,0.0,0.0,0.1607142857142857,0,Felipe Caicedo,Ecuador
388,6,4,0,3,0,2254.0,24,0.2395740905057675,0.15971606033717836,0.0,0.11978704525288375,0,Luis Alberto,Spain
389,1,0,0,0,0,336.0,3,0.26785714285714285,0.0,0.0,0.0,0,Ciro Immobile,Italy
390,0,0,0,3,0,399.0,5,0.0,0.0,0.0,0.6766917293233082,0,Rodrigo De Paul,Argentina
391,3,3,0,2,0,1598.0,21,0.16896120150187735,0.16896120150187735,0.0,0.11264080100125157,0,Bebé,Cape Verde
392,0,1,0,5,0,905.0,16,0.0,0.0994475138121547,0.0,0.49723756906077343,0,David Simón,Spain
393,4,0,0,4,0,1171.0,23,0.3074295473953886,0.0,0.0,0.3074295473953886,0,Pedro Bigas,Spain
394,0,0,0,2,0,240.0,6,0.0,0.0,0.0,0.75,0,Nicolás Pareja,Argentina
395,1,0,0,0,0,122.0,2,0.7377049180327869,0.0,0.0,0.0,0,Loren Morón,Spain
396,0,0,0,1,0,238.0,4,0.0,0.0,0.0,0.37815126050420167,0,Marco Andreolli,Italy
397,0,0,0,1,0,102.0,1,0.0,0.0,0.0,0.8823529411764706,0,Maximilian Wöber,Austria
398,3,3,0,5,0,3891.0,43,0.06939090208172706,0.06939090208172706,0.0,0.1156515034695451,0,Frenkie de Jong,Netherlands
399,5,3,0,4,0,1115.0,17,0.40358744394618834,0.242152466367713,0.0,0.32286995515695066,0,Sergio Araujo,Argentina
400,7,4,0,7,0,2039.0,28,0.30897498773908777,0.17655713585090732,0.0,0.30897498773908777,0,Arturo Vidal,Chile
401,1,0,0,0,0,106.0,1,0.8490566037735848,0.0,0.0,0.0,0,Arjen Robben,Netherlands
402,2,0,0,8,1,930.0,18,0.1935483870967742,0.0,0.0,0.8709677419354839,0,Ignacio Camacho,Spain
403,6,3,0,3,0,2250.0,23,0.24,0.12,0.0,0.12,0,Duje Čop,Croatia
404,0,1,0,10,0,1485.0,25,0.0,0.06060606060606061,0.0,0.6060606060606061,0,Aythami Artiles,Spain
405,1,0,0,0,0,1196.0,15,0.07525083612040134,0.0,0.0,0.0,0,Bruma,Portugal
406,2,2,0,4,0,926.0,18,0.19438444924406048,0.19438444924406048,0.0,0.38876889848812096,0,Yevgen Konoplyanka,Ukraine
407,1,0,0,1,0,45.0,1,2.0,0.0,0.0,2.0,2,Pablo de Blasis,Argentina
408,3,0,0,4,0,881.0,16,0.3064699205448354,0.0,0.0,0.4086265607264472,0,Jonathas,Brazil
409,0,1,0,0,0,161.0,2,0.0,0.5590062111801242,0.0,0.0,0,Jonathan de Guzmán,Netherlands
410,0,0,0,5,0,1488.0,31,0.0,0.0,0.0,0.3024193548387097,0,Andrés Fernández,Spain
411,0,1,0,2,0,363.0,7,0.0,0.24793388429752067,0.0,0.49586776859504134,0,Carlos Martínez,Spain
412,0,0,0,1,0,217.0,5,0.0,0.0,0.0,0.4147465437788018,0,Iván López,Spain
413,0,0,0,5,0,760.0,16,0.0,0.0,0.0,0.5921052631578947,0,Jorge Meré,Spain
414,0,0,0,1,0,45.0,1,0.0,0.0,0.0,2.0,0,Carlos Fernández,Spain
415,0,0,0,1,1,98.0,3,0.0,0.0,0.0,1.8367346938775508,0,Patrick Ebert,Germany
416,0,0,0,5,0,559.0,7,0.0,0.0,0.0,0.8050089445438282,0,Javi Martínez,Spain
417,0,0,0,1,0,413.0,7,0.0,0.0,0.0,0.2179176755447942,0,Jota Peleteiro,Spain
418,0,0,0,1,0,828.0,10,0.0,0.0,0.0,0.10869565217391304,0,Danilo Barbosa,Brazil
419,0,0,0,6,0,1012.0,20,0.0,0.0,0.0,0.533596837944664,0,Kolo,France
420,0,0,0,1,0,120.0,1,0.0,0.0,0.0,0.75,0,Jon Toral,Spain
421,3,3,0,4,0,2313.0,42,0.11673151750972763,0.11673151750972763,0.0,0.1556420233463035,0,Jérémy Mathieu,France
422,0,0,0,1,0,225.0,5,0.0,0.0,0.0,0.4,0,Răzvan Raț,Romania
423,8,7,0,3,0,1975.0,28,0.36455696202531646,0.3189873417721519,0.0,0.13670886075949368,0,Jonathan Viera,Spain
424,0,0,0,1,0,1215.0,27,0.0,0.0,0.0,0.07407407407407407,0,Asier Riesgo,Spain
425,4,2,0,6,0,3135.0,35,0.11483253588516747,0.05741626794258373,0.0,0.1722488038277512,0,André Gomes,Portugal
426,0,0,0,1,0,743.0,8,0.0,0.0,0.0,0.12113055181695828,0,Ricardo Horta,Portugal
427,0,0,0,2,0,368.0,5,0.0,0.0,0.0,0.4891304347826087,0,Diogo Figueiras,Portugal
428,0,3,0,4,0,1988.0,22,0.0,0.1358148893360161,0.0,0.18108651911468815,0,Arda Turan,Turkey
429,0,0,0,1,0,126.0,1,0.0,0.0,0.0,0.7142857142857142,0,Rúben Micael,Portugal
430,0,0,0,3,0,135.0,3,0.0,0.0,0.0,2.0,0,Felipe,Brazil
431,0,0,0,2,0,540.0,12,0.0,0.0,0.0,0.33333333333333337,0,Iker Casillas,Spain
432,3,3,0,1,0,1336.0,20,0.20209580838323352,0.20209580838323352,0.0,0.06736526946107785,0,Eiður Guðjohnsen,Iceland
433,0,0,0,1,0,276.0,3,0.0,0.0,0.0,0.32608695652173914,0,Borja Fernández,Spain
434,0,0,0,4,0,1194.0,19,0.0,0.0,0.0,0.30150753768844224,0,Nacho Martínez,Spain
435,0,0,0,1,0,171.0,2,0.0,0.0,0.0,0.5263157894736842,0,Míchel,Spain
436,0,0,0,1,0,270.0,6,0.0,0.0,0.0,0.33333333333333337,0,Jordi Masip,Spain
437,0,0,0,1,0,253.0,3,0.0,0.0,0.0,0.3557312252964427,0,Anuar Tuhami,Morocco
438,0,1,0,0,0,107.0,1,0.0,0.8411214953271028,0.0,0.0,0,Manu Morlanes,Spain
439,2,1,0,1,0,997.0,11,0.18054162487462388,0.09027081243731194,0.0,0.09027081243731194,0,Santi Cazorla,Spain
440,0,0,0,1,0,220.0,4,0.0,0.0,0.0,0.40909090909090906,0,Néstor Araujo,Mexico
441,0,0,0,1,0,182.0,2,0.0,0.0,0.0,0.4945054945054945,0,Fran Beltrán,Spain
442,1,0,0,0,0,234.0,2,0.38461538461538464,0.0,0.0,0.0,0,Borja Iglesias,Spain
443,1,0,0,2,0,1947.0,19,0.046224961479198766,0.0,0.0,0.09244992295839753,0,Arthur,Brazil
444,0,0,0,1,0,331.0,3,0.0,0.0,0.0,0.2719033232628399,0,Darwin Machís,Venezuela (Bolivarian Republic)
445,0,1,0,1,0,135.0,3,0.0,0.6666666666666667,0.0,0.6666666666666667,0,Moreno Lopera,Spain
446,0,2,0,3,0,1347.0,16,0.0,0.13363028953229397,0.0,0.20044543429844097,0,Adri Embarba,Spain
447,9,0,0,5,0,1628.0,21,0.4975429975429975,0.0,0.0,0.2764127764127764,0,Javi Guerra,Spain
448,0,0,0,1,0,503.0,6,0.0,0.0,0.0,0.17892644135188865,0,Chechu Dorado,Spain
449,1,1,0,2,0,160.0,2,0.5625,0.5625,0.0,1.125,0,Jaime Mata,Spain
450,0,0,0,1,0,125.0,1,0.0,0.0,0.0,0.72,0,Mario Pašalić,Croatia
451,0,0,0,4,0,752.0,13,0.0,0.0,0.0,0.4787234042553191,0,Cristiano Piccini,Italy
452,1,0,0,0,0,115.0,1,0.782608695652174,0.0,0.0,0.0,0,Cucho Hernández,Colombia
453,1,0,0,0,0,109.0,1,0.8256880733944955,0.0,0.0,0.0,0,Álex Gallar,Spain
454,0,0,0,1,0,45.0,1,0.0,0.0,0.0,2.0,0,Damián Musto,Argentina
455,0,2,0,2,0,963.0,13,0.0,0.18691588785046728,0.0,0.18691588785046728,0,Moi Gómez,Spain
456,0,1,0,0,0,164.0,2,0.0,0.5487804878048781,0.0,0.0,0,Jorge Miramón,Spain
457,0,0,0,1,0,143.0,2,0.0,0.0,0.0,0.6293706293706294,0,Unai López,Spain
458,0,0,0,2,0,379.0,7,0.0,0.0,0.0,0.47493403693931396,0,Emiliano Buendía,Argentina
459,0,0,0,1,0,561.0,8,0.0,0.0,0.0,0.16042780748663102,0,Óliver Torres,Spain
460,0,0,0,1,0,594.0,7,0.0,0.0,0.0,0.15151515151515152,0,Gorka Elustondo,Spain
461,0,0,0,1,0,265.0,3,0.0,0.0,0.0,0.33962264150943394,0,Haris Medunjanin,Bosnia and Herzegovina
462,0,0,0,1,0,90.0,2,0.0,0.0,0.0,1.0,0,Emiliano Insúa,Argentina
463,17,5,0,4,0,3412.0,43,0.44841735052754983,0.13188745603751464,0.0,0.10550996483001171,0,David Villa,Spain
464,2,1,0,6,0,879.0,15,0.20477815699658702,0.10238907849829351,0.0,0.6143344709897611,0,Sergio Álvarez,Spain
465,0,0,0,1,0,226.0,3,0.0,0.0,0.0,0.39823008849557523,0,Ivan Marcano,Spain
466,1,0,0,0,0,135.0,3,0.6666666666666667,0.0,0.0,0.0,0,Emilio Nsue,Equatorial Guinea
467,1,0,0,2,0,425.0,11,0.2117647058823529,0.0,0.0,0.4235294117647058,0,Carles Aleñà,Spain
468,0,1,0,2,0,1533.0,26,0.0,0.05870841487279843,0.0,0.11741682974559686,0,Lilian Thuram,France
469,24,9,0,2,0,3895.0,46,0.5545571245186136,0.20795892169448013,0.0,0.04621309370988447,0,Thierry Henry,France
470,0,0,0,1,0,397.0,8,0.0,0.0,0.0,0.22670025188916876,0,Juan Carlos Valerón,Spain
471,2,0,0,0,0,255.0,4,0.7058823529411764,0.0,0.0,0.0,0,Raúl,Spain
472,0,0,0,1,0,135.0,3,0.0,0.0,0.0,0.6666666666666667,0,Beto,Portugal
473,3,0,0,1,0,330.0,7,0.8181818181818181,0.0,0.0,0.2727272727272727,0,Henrik Larsson,Sweden
474,3,1,0,8,1,2043.0,32,0.13215859030837004,0.04405286343612335,0.0,0.39647577092511016,0,Gianluca Zambrotta,Italy
475,1,0,0,1,0,696.0,10,0.12931034482758622,0.0,0.0,0.12931034482758622,0,Hernán Santana,Spain
476,2,1,0,1,0,1965.0,21,0.0916030534351145,0.04580152671755725,0.0,0.04580152671755725,0,Víctor Rodríguez,Spain
477,0,1,0,1,0,103.0,3,0.0,0.8737864077669902,0.0,0.8737864077669902,0,Aras Özbiliz,Armenia
478,0,0,0,1,0,45.0,1,0.0,0.0,0.0,2.0,0,Raúl de Tomás,Spain
479,0,0,0,1,0,283.0,3,0.0,0.0,0.0,0.31802120141342755,0,Yangel Herrera,Venezuela (Bolivarian Republic)
480,0,0,0,2,0,179.0,4,0.0,0.0,0.0,1.005586592178771,0,Ognjen Vranješ,Bosnia and Herzegovina
481,1,0,0,0,0,386.0,4,0.23316062176165803,0.0,0.0,0.0,0,Samuel Chukwueze,Nigeria
482,0,0,0,1,0,242.0,4,0.0,0.0,0.0,0.371900826446281,0,Uche Agbo,Nigeria
483,2,0,0,8,0,1031.0,23,0.17458777885548013,0.0,0.0,0.6983511154219205,0,Enzo Roco,Chile
484,1,0,0,2,1,823.0,15,0.10935601458080194,0.0,0.0,0.32806804374240583,0,Diego Reyes,Mexico
485,0,0,0,1,0,618.0,12,0.0,0.0,0.0,0.14563106796116507,0,Mikel González,Spain
486,0,1,0,2,0,135.0,2,0.0,0.6666666666666667,0.0,1.3333333333333335,0,Roland Lamah,Belgium
487,0,0,0,1,0,166.0,2,0.0,0.0,0.0,0.5421686746987953,0,Sergi Guardiola,Spain
488,1,1,0,4,0,225.0,5,0.4,0.4,0.0,1.6,0,Emiliano Velázquez,Uruguay
489,0,0,0,1,0,353.0,4,0.0,0.0,0.0,0.254957507082153,0,Nikola Vukčević,Montenegro
490,1,1,0,4,0,567.0,13,0.15873015873015872,0.15873015873015872,0.0,0.6349206349206349,0,Junior Firpo,Spain
491,1,0,0,0,0,153.0,2,0.5882352941176471,0.0,0.0,0.0,0,Marc Cucurella,Spain
492,0,1,0,0,0,642.0,7,0.0,0.14018691588785046,0.0,0.0,0,Jackson Martínez,Colombia
493,0,0,0,1,0,90.0,1,0.0,0.0,0.0,1.0,0,Cosmin Contra,Romania
494,0,1,0,4,0,1347.0,23,0.0,0.06681514476614699,0.0,0.26726057906458794,0,Giovanni van Bronckhorst,Netherlands
495,0,0,0,1,0,90.0,2,0.0,0.0,0.0,1.0,0,Rodri Tarín,Spain
496,1,0,0,1,0,135.0,3,0.6666666666666667,0.0,0.0,0.6666666666666667,0,Vinícius Júnior,Brazil
497,0,0,0,3,0,712.0,13,0.0,0.0,0.0,0.3792134831460674,0,Omar Mascarell,Spain
498,0,0,0,4,0,653.0,9,0.0,0.0,0.0,0.5513016845329249,0,José Crespo,Spain
499,0,0,0,3,0,525.0,8,0.0,0.0,0.0,0.5142857142857142,0,José Alberto Cañas,Spain
500,0,0,0,2,0,375.0,7,0.0,0.0,0.0,0.48,0,Dmytro Chygrynskiy,Ukraine
501,0,0,0,2,0,162.0,2,0.0,0.0,0.0,1.1111111111111112,0,Sergio Reguilón,Spain
502,0,1,0,1,0,593.0,6,0.0,0.15177065767284992,0.0,0.15177065767284992,0,Robert Ibáñez,Spain
503,1,2,0,4,0,1394.0,19,0.06456241032998565,0.1291248206599713,0.0,0.2582496413199426,0,Sofiane Feghouli,Algeria
504,0,0,0,2,0,622.0,7,0.0,0.0,0.0,0.28938906752411575,0,Matías Nahuel,Spain
505,1,0,0,11,0,1156.0,20,0.07785467128027682,0.0,0.0,0.856401384083045,0,Nacho Cases,Spain
506,2,0,0,3,0,180.0,4,1.0,0.0,0.0,1.5,0,Diego Milito,Argentina
507,51,11,0,12,0,4695.0,58,0.9776357827476038,0.21086261980830673,0.0,0.23003194888178916,0,Samuel Eto'o,Cameroon
508,0,0,0,1,0,169.0,2,0.0,0.0,0.0,0.5325443786982248,0,David Trézéguet,France
509,0,0,0,1,0,45.0,1,0.0,0.0,0.0,2.0,0,Robert Pirès,France
510,0,0,0,1,0,126.0,1,0.0,0.0,0.0,0.7142857142857142,0,Lluis Sastre,Spain
511,0,0,0,2,0,756.0,9,0.0,0.0,0.0,0.23809523809523808,0,Fernando Tissone,Argentina
512,1,0,0,2,0,404.0,9,0.22277227722772278,0.0,0.0,0.44554455445544555,0,Ricardo Costa,Portugal
513,0,0,0,1,0,209.0,3,0.0,0.0,0.0,0.43062200956937796,0,Pedro Munitis,Spain
514,1,1,0,9,0,1437.0,17,0.06263048016701461,0.06263048016701461,0.0,0.5636743215031316,0,Augusto Fernández,Argentina
515,20,7,0,0,0,2853.0,33,0.6309148264984227,0.22082018927444796,0.0,0.0,0,Karim Benzema,France
516,3,0,0,2,0,177.0,3,1.5254237288135593,0.0,0.0,1.0169491525423728,2,Ruud van Nistelrooy,Netherlands
517,0,0,0,1,0,90.0,2,0.0,0.0,0.0,1.0,0,Tomáš Ujfaluši,Czech Republic
518,4,14,0,14,1,2911.0,42,0.12366884232222604,0.43284094812779117,0.0,0.4637581587083477,0,Deco,Portugal
519,0,0,0,1,0,85.0,2,0.0,0.0,0.0,1.0588235294117647,0,Maniche,Portugal
520,1,1,0,1,0,281.0,5,0.32028469750889677,0.32028469750889677,0.0,0.32028469750889677,0,Simão,Portugal
521,0,0,0,2,0,90.0,2,0.0,0.0,0.0,2.0,0,Giorgios Seitaridis,Greece
522,1,0,0,0,0,45.0,1,2.0,0.0,0.0,0.0,2,Angelos Basinas,Greece
523,2,0,0,0,0,98.0,3,1.8367346938775508,0.0,0.0,0.0,2,Hélder Postiga,Portugal
524,0,0,0,1,0,90.0,2,0.0,0.0,0.0,1.0,0,Christoph Metzelder,Germany
525,1,1,0,9,0,1419.0,25,0.06342494714587738,0.06342494714587738,0.0,0.5708245243128964,0,Pepe,Portugal
526,0,0,0,3,0,6570.0,146,0.0,0.0,0.0,0.0410958904109589,0,Marc-André ter Stegen,Germany
527,0,1,0,5,0,1177.0,18,0.0,0.07646559048428207,0.0,0.3823279524214104,0,Miguel Lopes,Portugal
528,0,1,0,0,0,278.0,5,0.0,0.32374100719424465,0.0,0.0,0,Miguel Monteiro,Portugal
529,9,3,0,19,0,8726.0,142,0.09282603713041486,0.030942012376804953,0.0,0.19596607838643137,0,Carles Puyol,Spain
530,0,0,0,1,0,180.0,4,0.0,0.0,0.0,0.5,0,Carlos Marchena,Spain
531,0,0,0,3,0,514.0,7,0.0,0.0,0.0,0.5252918287937743,0,David Albelda,Spain
532,28,56,0,12,0,15068.0,200,0.16724183700557474,0.3344836740111495,0.0,0.07167507300238916,0,Xavi,Spain
533,1,0,0,0,0,164.0,2,0.5487804878048781,0.0,0.0,0.0,0,Dani Güiza,Spain
534,0,0,0,4,0,225.0,5,0.0,0.0,0.0,1.6,0,Xabi Alonso,Spain
535,0,0,0,2,0,225.0,5,0.0,0.0,0.0,0.8,0,Joan Capdevila,Spain
536,2,0,0,2,0,348.0,4,0.5172413793103449,0.0,0.0,0.5172413793103449,0,Marcos Senna,Spain
537,0,1,0,1,0,135.0,3,0.0,0.6666666666666667,0.0,0.6666666666666667,0,João Pereira,Portugal
538,0,0,0,1,0,90.0,2,0.0,0.0,0.0,1.0,0,Christian Poulsen,Denmark
539,9,3,0,9,0,3694.0,56,0.21927449918787223,0.07309149972929074,0.0,0.21927449918787223,0,Seydou Kéita,Mali
540,0,0,0,17,1,9158.0,204,0.0,0.0,0.0,0.17689451845381088,0,Víctor Valdés,Spain
541,0,7,0,9,0,4538.0,75,0.0,0.1388276773909211,0.0,0.17849272807404143,0,Éric Abidal,France
542,0,0,0,4,0,481.0,8,0.0,0.0,0.0,0.7484407484407485,0,Álvaro Arbeloa,Spain
543,0,1,0,0,0,45.0,1,0.0,2.0,0.0,0.0,0,Khalid Boulahrouz,Netherlands
544,0,0,0,1,0,144.0,4,0.0,0.0,0.0,0.625,0,Juanito,Spain
545,1,0,0,0,0,45.0,1,2.0,0.0,0.0,0.0,2,Loukas Vyntra,Greece
546,2,1,0,1,0,1273.0,18,0.14139827179890024,0.07069913589945012,0.0,0.07069913589945012,0,Álvaro Negredo,Spain
